OBJECTID,DATA_DATE,ROUTE_COMM,HTRIS_ID,ROUTE_ALIA,START_LABE,END_LABEL,ADT,ADT_QUALIT,PERCENT_4_,PERCENT_BU,PERCENT_TR,PERCENT__1,PERCENT__2,PERCENT__3,CLASS_QUAL,K_FACTOR,K_FACTOR_Q,DIRECTION_,AAWDT,AAWDT_QUAL,LOC_COMP_D,ROUTE_FROM,FROM_JURIS,ROUTE_TO_M,TO_JURISDI,PEAK_SINGL,PEAK_COMBI,DATA_CUSTO,METADATA_U,ROUTE_NAME,EVENT_SOUR,EVENT_LOCA,EVENT_COMP,MAXIMUMSCA,ROUTE_CO_1,DATA_YEARO,Shape_STLength__,Shape_Length
1,26-OCT-11,SC-905E (Franklin County),  3300905,33-905 Standiford Rd,33-1110 Carlos Rd,33-1112 Winding Way,50,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.17,Franklin County,0.37,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00905EB,738692,1,1,48000,SC-905E (Franklin County) - ADT 50,2011,428.67738992,0.00351497360489313
2,25-MAY-10,SC-698E (Bedford County),  0900698,09-698 Villamont Rd,09-802 Lynn Lane,"09-843 S, Level Lane",150,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.2,Bedford County,2.47,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC00698EB,705865,1,1,48000,SC-698E (Bedford County) - ADT 150,2010,4386.97596228,0.0375099278990566
3,09-OCT-09,SC-1610E (Roanoke County),  8001610,80-1610 Martinell Ave,80-1632 Lanewood Dr,80-1604 Poplar Dr,140,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.18,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01610EB,766729,1,1,24000,SC-1610E (Roanoke County) - ADT 140,2009,384.50827575,0.00320262379101645
4,25-SEP-06,SC-731E (Roanoke County),  8000731,80-731 Lewis Rd,80-943 Branch Rd,80-776 Lewis Rd,330,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.2,Roanoke County,0.28,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00731EB,765776,1,1,24000,SC-731E (Roanoke County) - ADT 330,2006,153.7768534,0.00118719430636181
5,30-NOV-06,SC-885N (Roanoke County),  8000885,80-885 Dover Dr,Dead End,SCL Roanoke,70,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.08,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00885NB,765987,1,1,24000,SC-885N (Roanoke County) - ADT 70,2006,135.48547486,0.00103889289838447
6,2012,US-221N,  US00221,"US 221, VA 43, Bus VA 122 N Bridge St",Bedford Ave,Peaks St,7800,G,97.802,1.125,0.53,0.209,0.332,0,C,0.0859,F,0.5643,8300,G,Bidirectional,127.1,City of Bedford,127.21,City of Bedford,0.11253,0.02233,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   US00221NB,605042,1,1,1600000,US-221N - ADT 7800,2012,296.02774718,0.00220249658130743
7,2012,SC-711N (Roanoke County),  8000711,80-711 Tinsley Lane,"US 221 S, Bent Mountain Rd",80-607 Bottom Creek Rd,270,F,94.786,2.98,1.49,0.745,0,0,F,0.1463,F,0.5952,280,F,Bidirectional,0,Roanoke County,0.48,Roanoke County,1.62539,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00711NB,400638,1,1,200000,SC-711N (Roanoke County) - ADT 270,2012,946.31490186,0.00740097102476523
8,20-SEP-06,SC-749E (Roanoke County),  8000749,80-749,80-928 Hill Ave,80-748 Ballard St,400,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.46,Roanoke County,0.64,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00749EB,765803,1,1,24000,SC-749E (Roanoke County) - ADT 400,2006,331.40018741,0.00296777707905303
9,30-JAN-08,SC-668N (Montgomery County),  6000668,60-668 Pack Rd,60-600 Piney Woods Rd,60-669 Fairview Church Rd,30,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Montgomery County,0.7,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC00668NB,753960,1,1,48000,SC-668N (Montgomery County) - ADT 30,2008,1322.3019615,0.0105750930787071
10,04-JAN-08,SC-1015N (Montgomery County),  6001015,60-1015 Marsh Rd,Dead End,60-648 Bishop Rd,150,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Montgomery County,0.3,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC01015NB,754167,1,1,48000,SC-1015N (Montgomery County) - ADT 150,2008,539.65855151,0.00399939722257166
